# CODE | Illustration title | Drawing family | Individually selected geometry
IO|Chagos coral lagoon|atoll|167,153,110,39
IQ|Mesopotamian ziggurat|ziggurat|3,93,61
IR|Azadi Tower|azadi|0
IS|Icelandic basalt waterfall|waterfall|29,75 92,77 129,95 180,94 222,73 288,82
IT|Colosseum|colosseum|0
JE|Jersey coastal castle|castle|3,119,92
JM|Jamaican Blue Mountains|ridge|28,190 75,125 111,139 156,79 195,118 231,102 291,190
JO|Petra carved facade|petra|0
JP|Mount Fuji and torii|existing|0
KE|Kenyan acacia savanna|savanna|93,121,2
KG|Kyrgyz mountains and yurt|yurt|160,164,1
KH|Angkor Wat|angkor|0
KI|Kiribati atoll and canoe|canoe|155,183,3
KM|Comorian volcanic coast|volcano|24,195 81,145 139,62 177,79 236,160 293,195
KN|Saint Kitts coastal fort|fort|4,105,35
KP|Pyongyang tower silhouette|obelisk|146,62,28
KR|Korean palace gate|pagoda|2,121,68
KW|Kuwait Towers|spheres|3,64,123
KY|Cayman reef shoreline|reef|38,162,5
KZ|Bayterek tower|bayterek|0
LA|Lao golden stupa|stupa|160,83,57
LB|Lebanese cedar|cedar|0
LC|Saint Lucia twin peaks|ridge|23,196 91,58 117,133 181,48 218,159 291,198
LI|Liechtenstein hillside castle|castle|2,97,109
LK|Sigiriya rock silhouette|cliffs|27,199 89,191 108,84 140,68 206,76 221,189 291,201
LR|Liberian lighthouse coast|lighthouse|169,73,41
LS|Basotho hat and highlands|hat|160,130,70
LT|Trakai island castle|castle|4,113,92
LU|Luxembourg viaduct|bridge|35,129,250,63
LV|Riga old-town spires|spires|3,73,121
LY|Ancient desert columns|temple|5,89,103
MA|Moroccan minaret|minaret|133,64,54,141
MC|Monaco hillside waterfront|harbour|49,98,6
MD|Moldovan round fortress|roundtower|108,113,105,91
ME|Montenegrin bay and mountains|lake|25,178 72,89 114,134 156,69 210,119 290,183
MF|Saint Martin sailing bay|harbour|82,133,3
MG|Madagascar baobabs|baobab|3,80,94
MH|Marshall Islands lagoon|atoll|161,157,117,32
MK|Ohrid lakeside church|church|154,112,34,40
ML|Djenne earthen mosque|mudmosque|0
MM|Myanmar golden pagoda|stupa|160,57,71
MN|Mongolian steppe and ger|yurt|151,174,2
MO|Ruins of Saint Paul facade|facade|5,116,62
MP|Mariana limestone island|island|23,186 72,155 111,124 159,134 193,111 243,166 292,189
MQ|Martinique volcanic mountain|volcano|23,197 79,160 136,76 174,69 231,148 295,198
MR|Saharan dunes|dunes|26,173 97,96 161,160 213,132 294,187
MS|Montserrat volcanic island|volcano|26,198 76,163 139,81 167,59 217,151 292,196
MT|Maltese fortified harbour|fort|5,113,32
MU|Mauritian mountain and lagoon|island|28,190 92,165 128,80 154,119 180,101 230,175 292,192
MV|Maldivian overwater villas|villas|4,71,151
MW|Lake Malawi and sailing boat|lake|25,157 73,126 128,143 181,106 229,135 291,164
MX|Chichen Itza pyramid|stepyramid|9,96,69
MY|Petronas Twin Towers|petronas|0
MZ|Mozambican dhow|dhow|156,165,77
NA|Namib dunes|dunes|22,175 127,67 180,151 249,126 296,196
NC|New Caledonian lagoon and pines|pine|57,137,5
NE|Niger desert minaret|minaret|144,77,35,128
NF|Norfolk Island pines|pine|59,91,5
NG|Nigerian rock outcrop|cliffs|28,198 73,180 99,121 123,73 172,53 212,100 232,167 290,199
NI|Nicaraguan volcano|volcano|27,194 89,151 143,69 174,71 227,143 292,196
NL|Dutch windmill|windmill|156,88,77
NO|Norwegian fjord|fjord|22,87 82,106 113,156 157,196 200,149 246,68 293,61
NP|Himalayan peaks and stupa|stupa|161,137,37
NR|Nauru limestone pinnacles|pinnacles|7,51,114
NU|Niue limestone sea arch|seaarch|119,104,78
NZ|Aoraki alpine landscape|alpine|27,198 91,128 134,78 157,36 188,114 218,95 292,198
OM|Omani fort|fort|3,104,40
PA|Panama canal locks|canal|0
PE|Andean terraces|terraces|7,122,64
PF|Polynesian volcanic lagoon|island|24,192 76,174 113,109 142,59 163,119 199,101 237,174 291,193
PG|Papuan village|huts|4,61,148
PH|Chocolate Hills|hills|5,70,151
PK|Minar-e-Pakistan|minar|0
PL|Polish old-town facades|facades|5,59,102
PM|Saint Pierre fishing harbour|harbour|54,124,5
PN|Pitcairn steep coast|cliffs|26,193 68,133 117,111 159,72 213,95 253,144 291,193
PR|Puerto Rican coastal fort|fort|4,130,36
PS|Palestinian olive grove|olive|3,76,146
PT|Belem Tower|belem|0
PW|Palau Rock Islands|islands|5,59,159
PY|Paraguayan mission ruins|arcade|4,68,128
QA|Doha geometric waterfront|blocks|4,106,84
RE|Reunion volcanic caldera|volcano|27,196 101,113 139,97 172,117 201,84 244,147 290,195
RO|Carpathian castle|castle|5,82,118
RS|Serbian church silhouette|church|155,111,46,40
RU|Onion-domed cathedral|onion|5,70,117
RW|Rwandan rolling green hills|hills|6,49,133
SA|Saudi desert escarpment|cliffs|23,78 77,81 113,92 148,94 190,108 221,90 289,96 280,197 26,195
SB|Solomon Islands canoe coast|canoe|164,176,4
SC|Seychelles granite boulders|boulders|4,67,158
SD|Sudanese steep pyramids|pyramids|1
SE|Swedish town hall tower|clockgate|157,76,42
SG|Marina Bay Sands|marina|0
SH|Saint Helena rocky harbour|harbour|69,144,4
SI|Slovenian lake island church|church|163,104,28,46
SJ|Svalbard polar mountains|ice|26,191 87,105 128,137 166,74 209,141 242,115 294,193
SK|Slovak hilltop castle|castle|4,92,109
SL|Sierra Leone peninsula|island|26,191 81,154 126,97 173,105 207,134 250,179 293,193
SM|San Marino clifftop towers|castle|3,82,114
SN|Senegal baobab landscape|baobab|2,109,86
SO|Somali lighthouse and coast|lighthouse|152,71,34
SR|Surinamese timber facades|facades|4,82,122
SS|South Sudan wetland|wetland|25,163 89,144 139,171 195,146 249,170 293,159
ST|Sao Tome volcanic pinnacle|ridge|26,198 92,177 135,76 155,39 173,89 206,164 292,199
SV|Salvadoran volcanic landscape|volcano|25,198 84,150 131,87 160,84 216,146 294,199
SX|Sint Maarten waterfront|facades|4,78,130
SY|Ancient Syrian colonnade|temple|7,58,107
SZ|Swazi mountain and homestead|huts|3,91,159
TC|Turks and Caicos coral cay|reef|49,167,4
TD|Chadian sandstone towers|desert|25,195 57,153 72,84 101,84 114,170 156,177 170,59 197,66 212,169 293,194
TF|Southern Ocean island cliffs|cliffs|24,178 70,131 117,123 154,85 195,127 238,113 291,181
TG|Togolese earthen tower houses|adobe|66,108,4
TH|Thai temple spires|pagoda|3,104,62
TJ|Pamir mountain valley|alpine|25,198 83,116 128,147 173,41 213,101 244,144 293,199
TK|Tokelau coral atoll|atoll|154,153,115,29
TL|Timorese house silhouette|huts|1,146,119
TM|Turkmen marble arch|arch|160,94,81
TN|Tunisian amphitheatre|theatre|158,112,112
TO|Tongan stone trilithon|trilithon|0
TR|Galata Tower|existing|0
TT|Trinidad and Tobago steelpan|steelpan|0
TV|Tuvalu low coral atoll|atoll|160,169,122,22
TW|Taipei 101|taipei|0
TZ|Kilimanjaro silhouette|alpine|26,195 94,135 132,75 185,71 220,129 292,197
UA|Kyiv golden domes|onion|4,99,110
UG|Ugandan highland lake|lake|25,170 73,113 116,149 159,93 207,141 252,119 291,174
UM|Pacific seabird and coral cay|bird|160,135,1
US|Statue of Liberty|existing|0
UY|Uruguayan coastal lighthouse|lighthouse|155,87,40
UZ|Samarkand tiled portals|registan|0
VA|Saint Peter's dome|capitol|159,78,56
VC|Vincentian volcanic coast|volcano|23,197 79,158 123,95 156,82 209,128 251,173 295,198
VE|Venezuelan tepui waterfall|waterfall|25,66 90,64 132,65 176,63 229,68 288,90
VG|Virgin Gorda granite shore|boulders|5,48,145
VI|Virgin Islands sailing bay|harbour|64,143,4
VN|Ha Long limestone islands|islands|4,74,124
VU|Vanuatu volcano|volcano|24,195 78,159 132,105 170,115 200,102 241,160 294,196
WF|Wallis and Futuna island chapel|church|160,128,30,35
WS|Samoan fale|huts|2,111,147
XK|Prizren stone bridge|bridge|51,144,217,49
YE|Yemeni tower houses|facades|6,42,78
YT|Mayotte lagoon|atoll|165,146,104,46
ZA|Table Mountain|ridge|25,197 74,134 110,93 201,94 239,143 294,199
ZM|Zambian broad waterfall|waterfall|24,92 94,94 132,95 179,95 225,94 294,97
ZW|Great Zimbabwe stone walls|stonewall|0
